Galaxy	Area	Source	log ΣHI+H2	τdyn	τff	F22μm	F22μm, corr	FFUV	ΣSFR, 22μm	ΣSFR, FUV + 22μm
IC0676 	2.51 ± 0.83 	PXIV 	2.31 ± 0.22 	66.1 	8.1 	550.0 	545.5 ± 3.7 	238 ± 4.1 	−0.51 ± 0.19 	−0.46 ± 0.18 
IC0719 	10.31 ± 2.04 	PXIV 	1.33 ± 0.17 	51.5 	14.3 	58.7 	53.9 ± 0.4 	652 ± 27.6 	−1.68 ± 0.14 	−1.76 ± 0.12 
IC1024 	4.29 ± 1.02 	PXIV 	2.24 ± 0.19 	63.2 	8.4 	339.1 	336.0 ± 1.9 	652 ± 8.6 	−0.91 ± 0.15 	−0.93 ± 0.14 
NGC0509 	3.81 ± 1.36 	24μm 	0.90 ± 0.23 	77.6 	18.2 	5.7 	3.8 ± 0.2 	2 ± 0.8 	−2.20 ± 0.20 	−2.54 ± 0.23 
NGC0524 	3.76 ± 0.97 	PXIV 	1.39 ± 0.19 	18.3 	13.7 	51.5 	2.8 ± 1.9 	239 ± 7.5 	−2.53 ± 0.31 	−2.36 ± 0.15 
NGC1222 	1.63 ± 0.92 	PXIV 	3.12 ± 0.31 	65.8 	5.1 	1824.6 	1820.9 ± 17.7 	2178 ± 17.8 	0.30 ± 0.29 	0.55 ± 0.29 
NGC1266 	0.03 ± 0.01 	A11 	4.76 ± 0.16 	16.8 	2.0 	734.4 	728.9 ± 5.3 	22 ± 4.2 	1.27 ± 0.11 	1.73 ± 0.13 
NGC2685 	0.93 ± 0.35 	PXIV 	1.66 ± 0.23 	20.4 	11.8 	53.3 	37.4 ± 0.9 	2066 ± 10.3 	−1.35 ± 0.21 	−1.03 ± 0.20 
NGC2764 	8.63 ± 0.33 	PXIV 	2.46 ± 0.15 	119.7 	7.4 	300.0 	295.8 ± 1.8 	473 ± 20.4 	−0.81 ± 0.10 	−0.82 ± 0.08 
NGC2768 	1.48 ± 0.57 	PXIV 	1.47 ± 0.24 	12.9 	13.1 	51.7 	−3.9 ± 1.8 	377 ± 9.0 	− 	−1.94 ± 0.20 
NGC2824 	7.80 ± 2.44 	PXIV 	2.03 ± 0.21 	37.6 	9.5 	74.9 	71.9 ± 0.4 	78 ± 7.4 	−1.26 ± 0.18 	−1.38 ± 0.17 
NGC3032 	4.85 ± 1.01 	PXIV 	1.82 ± 0.18 	56.4 	10.7 	136.9 	132.1 ± 0.5 	1124 ± 6.7 	−1.33 ± 0.14 	−1.37 ± 0.13 
NGC3073 	0.97 ± 0.69 	FUV 	2.15 ± 0.37 	35.8 	8.9 	8.9 	7.2 ± 0.1 	309 ± 1.3 	−1.49 ± 0.36 	−1.27 ± 0.35 
NGC3156 	4.23 ± 0.96 	PXIV 	1.04 ± 0.18 	64.5 	16.8 	14.3 	9.2 ± 0.3 	147 ± 1.7 	−2.21 ± 0.15 	−2.37 ± 0.13 
NGC3182 	5.79 ± 1.76 	PXIV 	1.66 ± 0.21 	39.2 	11.8 	33.1 	27.4 ± 0.3 	524 ± 21.2 	−1.62 ± 0.18 	−1.61 ± 0.17 
NGC3245 	0.09 ± 0.01 	HST 	2.30 ± 0.15 	4.3 	8.1 	184.0 	158.5 ± 1.2 	173 ± 4.6 	0.09 ± 0.10 	0.29 ± 0.08 
