#################################################################################################################################################################
#
# This is Table C1 from Krajnovic et al. 2012: "The ATLAS3D Project - XVII. Linking photometric and kinematic signatures of stellar discs in early-type galaxies"
#
#################################################################################################################################################################
# Its contents are: 
# 
# Column (1): The Name is the principal designation from LEDA, which is used as standard designation.
# Column (2,3): Effective surface brightness of the single Sersic fit.
# Column (4,5): Effective radius of the  single Sersic fit in arcsec + error.
# Column (6-7):  S\'ersic index of the single Sersic fit + error.
# Column (8,9): Effective surface brightness of the bulge component in mag arcsec$^{-2}$ +error.
# Column (10,11): Effective radius of the bulge in arcsec + error.
# Column (12,13): S\'ersic index of the bulge component + error.
# Column (14): Flattening of the bulge component.
# Column (15,16): Effective surface brightness of the exponential component in mag arcsec$^{-2}$ +error.
# Column (17,18): Effective radius of the exponential component in arcsec+error.  
# Column (19):  Flattening of the exponential component.  
# Column (20,21): Disk-to-Total light ratio +error. 
#
# Note that Columns (2)-(4) are results of one component S\'ersic fits to profiles azimuthally averaged along 
# fixed ellipses, while columns (6)-(12) are results of two components fits to profiles azimuthally averaged 
# along free ellipses. This explains the difference between ($\mu_g$, $R_g$, $n_g$) and ($\mu_b$, $R_b$, $n_b$) 
# when two component fit was not required ($\mu_d=0$, $R_d=0$).
#
####################################################################################################################################################################
    name       mu_e      er_mu_e    R_e      er_R_e       n       er_n      mu_e_b  er_mu_e_b    R_e_b    er_R_e_b    n_b      er_n_b    q_b       m0_d    er_m0_d      R_d     er_R_d     q_d       D/T      er_dt
    IC0560     21.32      0.12      16.5       1.0       2.8       0.4      19.39      0.58       2.9       1.2       0.9       0.4      0.71     19.58      0.06      10.8       0.5      0.47      0.81     0.227
    IC0598     20.22      0.05      12.9       0.3       2.3       0.1      20.57      0.07      13.7       0.4       1.8       0.2      0.41      0.00      0.00       0.0       0.0      0.00      0.00     0.000
    IC0676     22.06      0.20      24.7       2.8       2.7       0.5       0.00      0.00       0.0       0.0       0.0       0.0      0.00      0.00      0.00       0.0       0.0      0.00      0.00     0.000
    IC0719     20.03      0.04      14.5       0.2       1.3       0.0      20.00      0.06      14.7       0.3       1.0       0.1      0.29      0.00      0.00       0.0       0.0      0.00      0.00     0.000
    IC0782     22.66      0.33      22.3       4.4       3.2       0.8       0.00      0.00       0.0       0.0       0.0       0.0      0.00      0.00      0.00       0.0       0.0      0.00      0.00     0.000
    IC1024     20.56      0.10      15.2       0.7       1.2       0.1      20.45      0.12      14.4       0.9       1.4       0.2      0.36      0.00      0.00       0.0       0.0      0.00      0.00     0.000
    IC3631     21.26      0.10      12.4       0.6       1.8       0.2      20.89      0.17      11.5       1.3       1.1       0.4      0.83      0.00      0.00       0.0       0.0      0.00      0.00     0.000
   NGC0448     19.32      0.05      11.2       0.3       2.6       0.2      18.29      0.10       4.7       0.3       0.9       0.1      0.38     18.06      0.01       9.1       0.3      0.34      0.69     0.030
   NGC0474     23.84      0.67      77.5      42.2      10.6       2.0      18.62      0.11       4.3       0.3       1.8       0.5      0.93     20.16      0.03      21.3       0.9      0.77      0.67     0.036
   NGC0502     20.90      0.26      13.0       2.0       4.1       1.3       0.00      0.00       0.0       0.0       0.0       0.0      0.00      0.00      0.00       0.0       0.0      0.00      0.00     0.000
   NGC0509     22.03      0.21      23.5       2.9       1.6       0.4       0.00      0.00       0.0       0.0       0.0       0.0      0.00      0.00      0.00       0.0       0.0      0.00      0.00     0.000
   NGC0516     20.86      0.06      16.4       0.4       1.5       0.1      20.83      0.11      16.6       0.7       1.1       0.1      0.35      0.00      0.00       0.0       0.0      0.00      0.00     0.000
   NGC0524     20.67      0.13      31.9       2.1       2.8       0.2      21.83      0.69      41.4      16.2       5.3       2.3      0.94     19.57      0.07      18.6       1.9      0.96      0.28     0.043
   NGC0525     20.75      0.06      10.3       0.3       2.3       0.2      19.72      0.27       3.7       0.4       0.9       0.3      0.87     20.40      0.04      11.3       0.8      0.74      0.71     0.036
   NGC0661     21.29      0.05      20.5       0.5       5.9       0.2      21.07      0.08      18.3       0.7       5.1       0.4      0.73      0.00      0.00       0.0       0.0      0.00      0.00     0.000
   NGC0680     22.40      0.34      32.6       7.1       9.2       1.4      22.55      0.40      35.5      10.3       8.1       1.5      0.81      0.00      0.00       0.0       0.0      0.00      0.00     0.000
   NGC0770     19.63      0.10       6.0       0.3       2.4       0.2      19.25      0.12       4.8       0.5       1.3       0.3      0.71     21.13      0.08      10.9       2.1      0.73      0.31     0.102
   NGC0821     25.14      0.09     248.7      49.3      10.4       0.7      18.58      0.22       5.0       0.7       1.6       0.4      0.66     19.08      0.02      16.8       1.5      0.60      0.74     0.043
   NGC0936     21.55      0.44      53.2      24.9       4.3       2.2       0.00      0.00       0.0       0.0       0.0       0.0      0.00      0.00      0.00       0.0       0.0      0.00      0.00     0.000
   NGC1023     21.39      0.23     157.7      22.4       6.1       0.4       0.00      0.00       0.0       0.0       0.0       0.0      0.00      0.00      0.00       0.0       0.0      0.00      0.00     0.000
   NGC1121     19.64      0.09       7.2       0.3       1.9       0.2      19.81      0.07       8.4       0.3       1.0       0.1      0.44      0.00      0.00       0.0       0.0      0.00      0.00     0.000
   NGC1222     21.05      0.14      14.8       1.0       3.4       0.5      22.38      0.56      22.5      13.1       5.4       2.5      0.72     19.94      0.09       7.7       1.0      0.72      0.21     0.035
   NGC1248     20.60      0.12      12.2       0.7       1.8       0.3       0.00      0.00       0.0       0.0       0.0       0.0      0.00      0.00      0.00       0.0       0.0      0.00      0.00     0.000
   NGC1266     21.30      0.10      17.2       0.8       1.9       0.2      21.35      0.11      17.5       1.0       2.1       0.2      0.77      0.00      0.00       0.0       0.0      0.00      0.00     0.000
   NGC1289     22.46      0.22      30.1       4.1       5.9       0.8      22.52      0.30      30.7       6.2       5.3       1.1      0.59      0.00      0.00       0.0       0.0      0.00      0.00     0.000
   NGC1665     21.87      0.33      26.5       5.9       2.0       1.2       0.00      0.00       0.0       0.0       0.0       0.0      0.00      0.00      0.00       0.0       0.0      0.00      0.00     0.000
   NGC2481     19.28      0.26       8.3       1.0       3.9       0.7      18.25      0.49       2.4       1.3       0.9       0.5      0.81     18.21      0.03       9.5       0.5      0.44      0.82     0.093
   NGC2549     19.95      0.14      25.1       2.0       3.2       0.6       0.00      0.00       0.0       0.0       0.0       0.0      0.00      0.00      0.00       0.0       0.0      0.00      0.00     0.000
   NGC2577     20.57      0.07      15.3       0.5       3.3       0.2      18.71      0.07       4.0       0.2       1.2       0.2      0.62     19.16      0.02      12.2       0.2      0.55      0.72     0.018
   NGC2592     20.46      0.14      11.4       0.8       3.3       0.5      20.59      0.08      12.2       0.5       2.7       0.3      0.80      0.00      0.00       0.0       0.0      0.00      0.00     0.000
   NGC2594     19.58      0.36       4.8       0.9      12.0       3.6      18.43      0.23       3.1       0.4       1.6       2.2      0.55     20.73      0.11       9.0       5.9      0.60      0.33     0.268
   NGC2679     22.51      0.28      26.3       4.7       3.3       0.9       0.00      0.00       0.0       0.0       0.0       0.0      0.00      0.00      0.00       0.0       0.0      0.00      0.00     0.000
   NGC2685     21.01      0.11      27.2       1.4       4.3       0.4      18.05      0.42       4.1       1.0       0.9       0.4      0.48     18.58      0.03      15.3       0.5      0.43      0.81     0.178
   NGC2695     20.87      0.11      18.2       0.9       4.2       0.4      21.02      0.18      19.5       1.8       3.9       0.7      0.70      0.00      0.00       0.0       0.0      0.00      0.00     0.000
   NGC2698     19.90      0.09      13.8       0.6       3.4       0.4      17.50      0.29       2.2       0.3       1.0       0.3      0.76     18.48      0.02      11.0       0.1      0.51      0.77     0.030
