Galaxy	R25	DCO	θGPA	RCO	RCORe RCOR25 log(RCOLKs) Reference
#	(kpc)	(arcsec)	(°)	(kpc)			(kpc L− 1⊙)	
#(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)
IC0676 	8.81 	22.0 	164 	1.22 	0.46 	0.14 	−10.13 	1 
IC0719 	5.39 	26.8 	50 	1.85 	0.48 	0.34 	−10.13 	1 
IC1024 	3.27 	25.0 	23 	1.21 	1.08 	0.37 	−9.84 	1 
NGC0524 	9.36 	19.4 	47 	1.05 	0.21 	0.11 	−11.17 	5 
NGC1222 	5.18 	25.0 	72 	1.90 	1.00 	0.37 	−10.09 	1 
NGC1266 	5.92 	8.9 	145 	0.62 	0.22 	0.10 	−10.65 	1 
NGC2697 	8.07 	30.0 	58 	2.02 	0.64 	0.25 	−10.08 	1 
NGC2764 	8.94 	36.5 	21 	3.42 	1.45 	0.38 	−10.05 	1 
NGC2768 	23.72 	13.0 	20 	0.64 	0.10 	0.03 	−11.38 	3 
NGC2824 	4.61 	16.0 	142 	1.36 	1.03 	0.29 	−10.31 	1 
NGC3032 	4.40 	14.0 	315 	0.50 	0.54 	0.11 	−10.41 	2 
NGC3182 	9.52 	16.5 	120 	1.16 	0.34 	0.12 	−10.52 	1 
NGC3489 	6.05 	20.0 	44 	0.54 	0.43 	0.09 	−10.77 	5 
NGC3607 	14.84 	30.0 	122 	1.49 	0.36 	0.10 	−11.03 	1 
NGC3619 	10.47 	11.1 	85 	0.46 	0.13 	0.04 	−11.08 	1 
NGC3626 	7.65 	27.0 	148 	1.22 	0.50 	0.16 	−10.55 	1 
NGC3665 	11.85 	21.0 	65 	1.58 	0.32 	0.13 	−11.08 	1 
NGC4119 	4.90 	17.6 	107 	0.63 	0.20 	0.13 	−10.55 	1 
NGC4150 	3.98 	30.0 	161 	0.91 	0.78 	0.23 	−10.01 	1 
NGC4292 	3.72 	9.2 	44 	0.31 	0.15 	0.08 	−10.44 	1 
NGC4324 	6.63 	48.0 	48 	1.90 	1.19 	0.29 	−10.08 	1 
NGC4429 	13.53 	14.0 	90 	0.48 	0.14 	0.04 	−11.36 	1 
NGC4435 	6.71 	10.5 	23 	0.28 	0.11 	0.04 	−11.39 	1 
NGC4459 	9.59 	20.0 	113 	0.51 	0.19 	0.05 	−11.16 	2 
NGC4476 	4.41 	21.6 	24 	0.78 	0.60 	0.18 	−10.13 	1 
NGC4477 	9.15 	7.4 	47 	0.21 	0.07 	0.02 	−11.50 	5 
NGC4526 	17.52 	14.0 	111 	0.44 	0.13 	0.03 	−11.51 	2 
NGC4550 	7.48 	8.0 	1 	0.30 	0.26 	0.04 	−10.74 	4 
NGC4694 	7.61 	26.0 	97 	1.01 	0.43 	0.13 	−10.17 	1 
NGC4710 	6.25 	60.0 	30 	2.41 	0.96 	0.39 	−10.34 	1 
NGC4753 	19.13 	29.9 	92 	1.59 	0.29 	0.08 	−11.15 	1 
NGC5379 	9.57 	41.3 	57 	2.95 	0.97 	0.31 	−9.67 	1 
NGC5866 	10.16 	63.0 	144 	2.26 	0.86 	0.22 	−10.56 	1 
NGC6014 	9.18 	9.7 	128 	0.46 	0.12 	0.05 	−10.83 	1 
NGC7465 	4.36 	25.6 	71 	1.67 	1.75 	0.38 	−10.17 	1 
PGC029321 	4.26 	11.3 	125 	0.84 	0.55 	0.20 	−10.05 	1 
PGC058114 	2.07 	16.1 	91 	0.77 	0.72 	0.37 	−10.05 	1 
UGC05408 	6.80 	5.9 	120 	0.66 	0.43 	0.10 	−10.31 	1 
UGC06176 	7.88 	8.0 	36 	0.32 	0.16 	0.04 	−10.87 	1 
UGC09519 	3.10 	12.9 	145 	0.69 	0.77 	0.22 	−10.21 	1 
