# Table 1 from Davis+2019
######################################################################################################
Galaxy	Distance	MKS         LKS sigmae	      Re	log10(MH2) Ref.
#None		(Mpc)	(mag)	(LSun)	(kms-1)	(kpc)	(Msun) None
######################################################################################################
IC0310 		77.5 	-25.35 	11.45 	205. 	5.7 	9.02 	1 
NGC0057 	76.3 	-25.75 	11.61 	251. 	10.0 	-8.60 	2 
NGC0227 	75.9 	-25.32 	11.44 	262. 	5.4 	-8.52 	2 
NGC0315 	70.3 	-26.30 	11.83 	341. 	8.5 	-8.81 	6 
NGC0383 	71.3 	-25.81 	11.64 	257. 	7.1 	9.23 	1 
NGC0410 	71.3 	-25.90 	11.67 	247. 	10.9 	-8.66 	2 
NGC0467 	75.8 	-25.40 	11.47 	247. 	9.0 	8.77 	2 
NGC0499 	69.8 	-25.50 	11.51 	266. 	5.3 	-8.62 	2 
NGC0507 	69.8 	-25.93 	11.68 	257. 	13.0 	-8.68 	2 
NGC0533 	77.9 	-26.05 	11.73 	258. 	15.3 	-8.67 	2 
NGC0547 	74.0 	-25.83 	11.64 	232. 	7.1 	-8.76 	2 
NGC0665 	74.6 	-25.51 	11.52 	164. 	4.9 	9.18 	1 
NGC0708 	69.0 	-25.65 	11.57 	219. 	16.5 	8.83 	3 
NGC0741 	73.9 	-26.06 	11.74 	289. 	9.6 	-8.66 	2 
NGC0890 	55.6 	-25.50 	11.51 	194. 	8.2 	-8.79 	2 
NGC0910 	79.8 	-25.33 	11.44 	219. 	9.9 	-8.12 	2 
NGC0997 	90.4 	-25.40 	11.47 	215. 	10.3 	9.26 	1 
NGC1060 	67.4 	-26.00 	11.71 	271. 	12.0 	-7.89 	4 
NGC1129 	73.9 	-26.14 	11.77 	259. 	10.8 	-8.81 	6 
NGC1132 	97.6 	-25.70 	11.59 	218. 	14.6 	-8.61 	1 
NGC1167 	70.2 	-25.64 	11.57 	172. 	10.1 	8.52 	4 
NGC1453 	56.4 	-25.67 	11.58 	272. 	7.9 	-8.91 	2 
NGC1497 	87.8 	-25.31 	11.44 	190. 	7.9 	9.10 	1 
NGC1573 	65.0 	-25.55 	11.53 	264. 	7.9 	-8.66 	2 
NGC1600 	63.8 	-25.99 	11.71 	293. 	12.7 	-8.41 	7 
NGC1684 	63.5 	-25.34 	11.45 	262. 	9.0 	9.20 	1 
NGC1700 	54.4 	-25.60 	11.55 	223. 	6.0 	-8.31 	7 
NGC2256 	79.4 	-25.87 	11.66 	259. 	16.8 	-8.54 	2 
NGC2258 	59.0 	-25.66 	11.58 	254. 	10.1 	-8.81 	1 
NGC2274 	73.8 	-25.69 	11.59 	259. 	10.1 	-8.58 	2 
NGC2320 	89.4 	-25.93 	11.68 	298. 	8.4 	8.41 	5 
