#Table 1 from Veale+2018, MASSIVE VIII
#########################################################################################################
Galaxy	MK	log10Mstar	gammae	sigmac	avgsigmae	gammainner	gammaouter	avgh4	h4 env	log10Mhalo	1plusdeltag	nu10
#	(mag)	(M⊙)		   (kms−1) (kms−1)						(M⊙)		(ν)
#(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)
#########################################################################################################
NGC0057 	-25.75 	11.79 	0.022 	289 	251 	-0.150 	-0.001 	0.053 	0.017 	I 	0. 	2.29 	4.8 
NGC0080 	-25.66 	11.75 	0.039 	248 	222 	-0.073 	0.145 	0.039 	0.010 	B 	14.1 	2.95 	6500 
NGC0315 	-26.30 	12.03 	0.062 	348 	341 	-0.004 	-0.057 	0.052 	0.011 	B 	13.5 	6.03 	270 
NGC0383 	-25.81 	11.82 	0.252 	290 	257 	-0.143 	0.307 	0.012 	-0.019 	S 	14.4 	7.24 	4300 
NGC0410 	-25.90 	11.86 	0.034 	291 	247 	-0.121 	-0.276 	0.041 	-0.028 	B 	14.4 	7.41 	3100 
NGC0499 	-25.50 	11.68 	0.060 	274 	266 	-0.043 	-0.489 	0.028 	-0.008 	S 	14.4 	7.24 	35000 
NGC0507 	-25.93 	11.87 	0.049 	274 	257 	-0.069 	(0.098) 	0.050 	0.035 	B 	14.4 	7.24 	58000 
NGC0533 	-26.05 	11.92 	0.034 	280 	258 	-0.056 	0.068 	0.063 	0.083 	B 	13.5 	4.27 	13 
NGC0545 	-25.83 	11.83 	0.129 	249 	231 	0.011 	(0.266) 	0.074 	0.036 	B(A194) 	14.5 	5.89 	13000 
NGC0547 	-25.83 	11.83 	0.056 	259 	232 	-0.079 	(-0.006) 	0.035 	0.030 	S(A194) 	14.5 	5.89 	14000 
NGC0665 	-25.51 	11.68 	0.402 	206 	164 	-0.163 	-0.070 	-0.074 	-0.227 	B 	13.7 	3.02 	56 
UGC01332 	-25.57 	11.71 	0.037 	248 	253 	-0.005 	(0.274) 	0.034 	-0.020 	B 	13.8 	3.72 	170 
NGC0708 	-25.65 	11.75 	0.036 	206 	219 	-0.010 	0.273 	0.090 	0.110 	B(A262) 	14.5 	5.75 	12000 
NGC0741 	-26.06 	11.93 	0.040 	292 	289 	0.012 	(0.068) 	0.043 	0.069 	B 	13.8 	2.88 	130 
NGC0777 	-25.94 	11.87 	0.046 	324 	291 	-0.134 	(-0.090) 	0.051 	0.004 	B 	13.5 	5.01 	76 
NGC0890 	-25.50 	11.68 	0.101 	207 	194 	-0.034 	(-0.062) 	-0.006 	-0.002 	I 	 0.	4.68 	1.4 
NGC0910 	-25.33 	11.61 	0.039 	236 	219 	-0.178 	0.357 	0.018 	0.034 	S(A347) 	14.8 	6.17 	11000 
NGC0997 	-25.40 	11.64 	0.243 	267 	215 	-0.195 	(-0.090) 	0.021 	-0.015 	B 	13.0 	2.95 	26 
NGC1016 	-26.33 	12.05 	0.033 	286 	279 	-0.028 	-0.005 	0.027 	-0.001 	B 	13.9 	4.79 	55 
NGC1060 	-26.00 	11.90 	0.023 	310 	271 	-0.100 	(-0.068) 	0.055 	0.028 	B 	14.0 	3.89 	2000 
NGC1132 	-25.70 	11.77 	0.061 	239 	218 	-0.100 	0.145 	0.022 	0.015 	B 	13.6 	3.39 	8.1 
NGC1129 	-26.14 	11.96 	0.120 	241 	259 	0.036 	0.131 	0.047 	0.043 	B 	14.8 	10.72 	16000 
NGC1167 	-25.64 	11.74 	0.427 	188 	172 	-0.085 	-0.427 	-0.068 	-0.166 	B 	13.1 	5.01 	15 
NGC1226 	-25.51 	11.68 	0.033 	274 	229 	-0.146 	-0.173 	0.084 	0.138 	B 	13.2 	3.47 	3.0 
IC0310 	-25.35 	11.61 	0.085 	218 	205 	-0.097 	 0.  0.059 	-0.074 	S(Perseus) 	14.8 	13.18 	15000 
NGC1272 	-25.80 	11.81 	0.023 	285 	250 	-0.075 	0.118 	0.049 	0.046 	S(Perseus) 	14.8 	13.49 	390000 
UGC02783 	-25.44 	11.65 	0.068 	292 	266 	-0.163 	(-0.143) 	0.018 	0.015 	B 	12.6 	6.31 	17 
NGC1453 	-25.67 	11.75 	0.201 	312 	272 	-0.091 	0.013 	0.044 	0.005 	B 	13.9 	2.29 	87 
NGC1497 	-25.31 	11.60 	0.474 	234 	190 	-0.214 	0.132 	-0.029 	-0.071 	I 	 0. 	2.69 	87 
NGC1600 	-25.99 	11.90 	0.026 	346 	293 	-0.082 	-0.047 	0.055 	0.037 	B 	14.2 	6.03 	1200 
NGC1573 	-25.55 	11.70 	0.040 	288 	264 	-0.073 	-0.254 	0.018 	0.015 	B 	14.1 	4.07 	580 
NGC1684 	-25.34 	11.61 	0.122 	295 	262 	-0.054 	(-0.054) 	0.018 	0.011 	B 	13.7 	6.17 	1500 
NGC1700 	-25.60 	11.72 	0.195 	236 	223 	-0.086 	-0.345 	-0.026 	-0.074 	B 	12.7 	3.47 	23 
NGC2208 	-25.63 	11.74 	0.062 	268 	255 	-0.024 	(0.049) 	-0.004 	-0.007 	I 	 0. 	2.82 	7.1 
NGC2256 	-25.87 	11.84 	0.024 	240 	259 	0.121 	(-0.103) 	0.063 	0.004 	B 	13.7 	2.69 	20 
NGC2274 	-25.69 	11.76 	0.067 	288 	259 	-0.083 	0.133 	0.021 	-0.024 	B 	13.3 	3.09 	110 
NGC2258 	-25.66 	11.75 	0.036 	293 	254 	-0.080 	(0.035) 	0.040 	0.042 	B 	12.2 	3.80 	9.5 
NGC2320 	-25.93 	11.87 	0.235 	340 	298 	-0.167 	(0.000) 	0.037 	0.028 	B 	14.2 	7.94 	650 
UGC03683 	-25.52 	11.69 	0.090 	257 	257 	-0.051 	(-0.093) 	0.024 	-0.090 	B 	13.6 	5.75 	26 
NGC2332 	-25.39 	11.63 	0.037 	254 	224 	-0.121 	-0.123 	0.029 	-0.033 	S 	14.2 	7.76 	1500 
NGC2340 	-25.90 	11.86 	0.029 	232 	235 	-0.028 	0.033 	0.018 	0.004 	S 	14.2 	7.76 	1200 
UGC03894 	-25.58 	11.72 	0.122 	297 	255 	-0.142 	-0.107 	0.036 	0.025 	B 	13.7 	1.55 	1.5 
NGC2418 	-25.42 	11.64 	0.241 	245 	217 	-0.176 	(-0.236) 	0.041 	-0.029 	I 	 0. 	2.24 	1.4 
NGC2513 	-25.52 	11.69 	0.095 	280 	253 	-0.071 	-0.127 	-0.004 	-0.025 	B 	13.6 	2.34 	5.1 
NGC2672 	-25.60 	11.72 	0.095 	273 	262 	-0.055 	(-0.033) 	0.028 	-0.009 	B 	13.0 	1.32 	1.2 
NGC2693 	-25.76 	11.79 	0.295 	327 	296 	-0.061 	0.087 	0.035 	-0.011 	I 	 0. 	1.70 	6.8 
NGC2783 	-25.72 	11.78 	0.042 	252 	264 	0.034 	0.012 	0.047 	-0.007 	B 	12.8 	3.24 	4.6 
NGC2832 	-26.42 	12.08 	0.071 	327 	291 	-0.093 	0.096 	0.054 	0.005 	B(A779) 	13.7 	3.98 	7.8 
NGC2892 	-25.70 	11.77 	0.046 	237 	234 	0.013 	-0.154 	0.051 	0.004 	I 	 0. 	2.19 	2.2 
NGC3158 	-26.28 	12.02 	0.255 	301 	289 	-0.034 	0.009 	0.032 	0.009 	B 	13.3 	2.69 	9.5 
